frame,state,ball_x,ball_y,stuck,note
290,TRACKING_POINT,1518,180,1,OK
291,TRACKING_POINT,1518,180,1,OK
292,TRACKING_POINT,1518,180,1,OK
293,TRACKING_POINT,1518,180,1,OK
294,TRACKING_POINT,1518,180,1,OK
295,TRACKING_POINT,1518,180,3,OK
296,TRACKING_POINT,1518,180,4,OK
297,TRACKING_POINT,1497,267,0,OK
298,TRACKING_POINT,1497,267,1,OK
299,TRACKING_POINT,1497,267,2,OK
300,TRACKING_POINT,1493,265,0,OK
301,TRACKING_POINT,1487,262,0,OK
302,TRACKING_POINT,1487,262,1,OK
303,TRACKING_POINT,1487,262,2,OK
304,TRACKING_POINT,1484,265,0,OK
305,TRACKING_POINT,1482,265,0,OK
306,TRACKING_POINT,1480,264,0,OK
307,TRACKING_POINT,1477,264,0,OK
308,TRACKING_POINT,1475,264,0,OK
309,TRACKING_POINT,1475,264,1,OK
310,TRACKING_POINT,1475,264,2,OK
311,TRACKING_POINT,1470,262,0,OK
312,TRACKING_POINT,1467,263,0,OK
313,TRACKING_POINT,1470,264,0,OK
314,TRACKING_POINT,1465,266,0,OK
315,TRACKING_POINT,1465,266,1,OK
316,TRACKING_POINT,1465,266,2,OK
317,TRACKING_POINT,1460,261,0,OK
318,TRACKING_POINT,1460,261,1,OK
319,TRACKING_POINT,1460,261,2,OK
320,TRACKING_POINT,1453,260,0,OK
321,TRACKING_POINT,1453,260,1,OK
322,TRACKING_POINT,1453,260,2,OK
323,TRACKING_POINT,1449,259,0,OK
324,TRACKING_POINT,1448,259,0,OK
325,TRACKING_POINT,1446,260,0,OK
326,TRACKING_POINT,1444,260,0,OK
327,TRACKING_POINT,1443,259,1,OK
328,TRACKING_POINT,1442,258,3,OK
329,TRACKING_POINT,1440,258,4,OK
330,TRACKING_POINT,1437,258,0,OK
